-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2014 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOTCORR
33.0,35.0,2014,1,18,0.0
33.0,35.625,2014,1,18,0.0
29.5,34.375,2014,1,19,0.0
29.5,35.0,2014,1,19,0.0
29.5,35.625,2014,1,19,0.0
30.0,34.375,2014,1,19,0.0
30.0,35.0,2014,1,19,0.0
30.0,35.625,2014,1,19,0.0
30.5,34.375,2014,1,19,0.0
30.5,35.0,2014,1,19,0.0
30.5,35.625,2014,1,19,0.0
31.0,34.375,2014,1,19,0.0
31.0,35.0,2014,1,19,0.0
31.0,35.625,2014,1,19,0.0
31.5,34.375,2014,1,19,0.0
31.5,35.0,2014,1,19,0.0
31.5,35.625,2014,1,19,0.0
32.0,34.375,2014,1,19,0.0
32.0,35.0,2014,1,19,0.0
32.0,35.625,2014,1,19,0.0
32.5,34.375,2014,1,19,0.0
32.5,35.0,2014,1,19,0.0
32.5,35.625,2014,1,19,0.0
33.0,34.375,2014,1,19,0.01
33.0,35.0,2014,1,19,0.0
33.0,35.625,2014,1,19,0.0
29.5,34.375,2014,1,20,0.0
29.5,35.0,2014,1,20,0.0
29.5,35.625,2014,1,20,0.0
30.0,34.375,2014,1,20,0.0
30.0,35.0,2014,1,20,0.0
30.0,35.625,2014,1,20,0.0
30.5,34.375,2014,1,20,0.0
30.5,35.0,2014,1,20,0.0
30.5,35.625,2014,1,20,0.0
31.0,34.375,2014,1,20,0.0
31.0,35.0,2014,1,20,0.0
31.0,35.625,2014,1,20,0.0
31.5,34.375,2014,1,20,0.0
31.5,35.0,2014,1,20,0.0
31.5,35.625,2014,1,20,0.0
32.0,34.375,2014,1,20,0.0
32.0,35.0,2014,1,20,0.0
32.0,35.625,2014,1,20,0.0
32.5,34.375,2014,1,20,0.0
32.5,35.0,2014,1,20,0.0
32.5,35.625,2014,1,20,0.0
33.0,34.375,2014,1,20,0.0
33.0,35.0,2014,1,20,0.0
33.0,35.625,2014,1,20,0.0
29.5,34.375,2014,1,21,0.0
29.5,35.0,2014,1,21,0.0
29.5,35.625,2014,1,21,0.0
30.0,34.375,2014,1,21,0.0
30.0,35.0,2014,1,21,0.0
30.0,35.625,2014,1,21,0.0
30.5,34.375,2014,1,21,0.0
30.5,35.0,2014,1,21,0.0
30.5,35.625,2014,1,21,0.0
31.0,34.375,2014,1,21,0.0
31.0,35.0,2014,1,21,0.0
31.0,35.625,2014,1,21,0.0
31.5,34.375,2014,1,21,0.0
31.5,35.0,2014,1,21,0.0
31.5,35.625,2014,1,21,0.0
32.0,34.375,2014,1,21,0.0
32.0,35.0,2014,1,21,0.0
32.0,35.625,2014,1,21,0.0
32.5,34.375,2014,1,21,0.0
32.5,35.0,2014,1,21,0.0
32.5,35.625,2014,1,21,0.0
33.0,34.375,2014,1,21,0.0
33.0,35.0,2014,1,21,0.0
33.0,35.625,2014,1,21,0.0
29.5,34.375,2014,1,22,0.0
29.5,35.0,2014,1,22,0.0
29.5,35.625,2014,1,22,0.0
30.0,34.375,2014,1,22,0.0
30.0,35.0,2014,1,22,0.0
30.0,35.625,2014,1,22,0.0
30.5,34.375,2014,1,22,0.0
30.5,35.0,2014,1,22,0.0
30.5,35.625,2014,1,22,0.0
31.0,34.375,2014,1,22,0.0
31.0,35.0,2014,1,22,0.0
31.0,35.625,2014,1,22,0.0
31.5,34.375,2014,1,22,0.0
31.5,35.0,2014,1,22,0.0
31.5,35.625,2014,1,22,0.0
32.0,34.375,2014,1,22,0.0
32.0,35.0,2014,1,22,0.0
32.0,35.625,2014,1,22,0.0
32.5,34.375,2014,1,22,0.0
32.5,35.0,2014,1,22,0.0
32.5,35.625,2014,1,22,0.0
33.0,34.375,2014,1,22,0.01
33.0,35.0,2014,1,22,0.0
33.0,35.625,2014,1,22,0.0
29.5,34.375,2014,1,23,0.0
29.5,35.0,2014,1,23,0.0
29.5,35.625,2014,1,23,0.0
30.0,34.375,2014,1,23,0.0
30.0,35.0,2014,1,23,0.0
30.0,35.625,2014,1,23,0.0
30.5,34.375,2014,1,23,0.0
30.5,35.0,2014,1,23,0.0
30.5,35.625,2014,1,23,0.0
31.0,34.375,2014,1,23,0.0
31.0,35.0,2014,1,23,0.0
31.0,35.625,2014,1,23,0.0
31.5,34.375,2014,1,23,0.0
31.5,35.0,2014,1,23,0.0
31.5,35.625,2014,1,23,0.0
32.0,34.375,2014,1,23,0.01
32.0,35.0,2014,1,23,0.0
32.0,35.625,2014,1,23,0.0
32.5,34.375,2014,1,23,0.14
32.5,35.0,2014,1,23,0.06
32.5,35.625,2014,1,23,0.0
33.0,34.375,2014,1,23,0.59
33.0,35.0,2014,1,23,0.4
33.0,35.625,2014,1,23,0.0
29.5,34.375,2014,1,24,0.0
29.5,35.0,2014,1,24,0.0
29.5,35.625,2014,1,24,0.0
30.0,34.375,2014,1,24,0.0
30.0,35.0,2014,1,24,0.0
30.0,35.625,2014,1,24,0.0
30.5,34.375,2014,1,24,0.0
30.5,35.0,2014,1,24,0.0
30.5,35.625,2014,1,24,0.0
31.0,34.375,2014,1,24,0.0
31.0,35.0,2014,1,24,0.0
31.0,35.625,2014,1,24,0.0
31.5,34.375,2014,1,24,0.0
31.5,35.0,2014,1,24,0.0
